road_name,room_count,house_type,mt_sq,constr_year,discount,price,postal_code,price_mt_sq,date,sale_type
A Olufsensvej 4,3,Sommerhus,35,1958,0.1,657e3,4500 Nykøbing Sj,18771,2017-06-30,Alm. Salg
Nørredalen 10,5,Sommerhus,84,1957,0.06,74e4,4500 Nykøbing Sj,8809,2017-06-30,Alm. Salg
Elvervangen 7,4,Sommerhus,65,1971,NA,57e4,4500 Nykøbing Sj,8769,2017-06-29,Alm. Salg
Pilevangsvej 36,3,Sommerhus,35,1974,0,1995e3,4500 Nykøbing Sj,57e3,2017-06-29,Alm. Salg
Soldalen 43,4,Sommerhus,71,2011,-0.04,1535e3,4500 Nykøbing Sj,21619,2017-06-27,Alm. Salg
Burvænget 33,3,Sommerhus,62,2004,-0.04,165e4,4500 Nykøbing Sj,26612,2017-06-25,Alm. Salg
Bakkevænget 8,5,Sommerhus,82,1963,NA,537075,4500 Nykøbing Sj,6549,2017-06-24,Alm. Salg
Poppelvænget 20,4,Sommerhus,71,1969,0.01,37e4,4500 Nykøbing Sj,5211,2017-06-23,Alm. Salg
Strandvangen 23,4,Sommerhus,52,1942,NA,272e3,4500 Nykøbing Sj,5230,2017-06-23,Andet
Svinget 14,2,Sommerhus,42,1957,-0.08,5e5,4500 Nykøbing Sj,11904,2017-06-22,Alm. Salg
Fredensvej 6,3,Sommerhus,40,1964,0,645e3,4500 Nykøbing Sj,16125,2017-06-22,Alm. Salg
Søkrogen 5,4,Sommerhus,73,1973,NA,485e3,4500 Nykøbing Sj,6643,2017-06-22,Alm. Salg
Stormbakkevej 22,3,Sommerhus,57,1968,-0.01,736e3,4500 Nykøbing Sj,12912,2017-06-21,Alm. Salg
Soldalen 5,4,Sommerhus,76,1972,-0.04,89e4,4500 Nykøbing Sj,11710,2017-06-21,Alm. Salg
Strandmosevej 20,3,Sommerhus,66,2003,-0.03,116e4,4500 Nykøbing Sj,17575,2017-06-20,Alm. Salg
Strandparken 14,4,Sommerhus,87,1968,-0.09,2085e3,4500 Nykøbing Sj,23965,2017-06-16,Alm. Salg
Snedkerkrogen 7,4,Sommerhus,76,1979,-0.06,14e5,4500 Nykøbing Sj,18421,2017-06-16,Alm. Salg
Mågevej 4,2,Sommerhus,24,1940,-0.11,35e4,4500 Nykøbing Sj,14583,2017-06-15,Alm. Salg
